ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
B1SA34,B1SA34,BDR,BSAC (BDR: B1SA34),16.6,S,2.0,C,4.0,Forte,35.07,32.53,32.13,31.08,11382213.89,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,1.14,34.76,False,False,False,False,False,True,False,23.592,13.86166,1.4390644,1
TGTB34,TGTB34,BDR,TGT (BDR: TGTB34),16.25,S,2.0,C,3.0,OK,144.51,132.26,120.42,112.76,318544970.5,False,0.0,False,0.0,True,0.75,False,0.0,True,0.65,True,False,0.65,147.77,False,False,False,False,False,True,False,22.015,19.089827,4.0032687,2
SAUD3,SAUD3,BR_STOCK,SAUD3,15.62,S,0.5,C,4.0,Forte,15.77,14.05,13.34,12.97,55750105.62,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,True,1.58,15.56,False,False,False,False,False,False,False,40.374002,15.163463,6.003045,3
TUPY3,TUPY S.A.,BR_STOCK,TUPY3,15.45,S,0.5,C,0.0,Fraco,15.8,14.42,13.4,13.16,8979140.11,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,1.03,16.5,False,False,False,False,False,False,False,-26.069,999.0,0.8273118,4
N1TA34,N1TA34,BDR,NTAP (BDR: N1TA34),15.43,S,0.5,C,3.0,OK,173.98,159.97,122.34,119.89,288259973.78,False,0.0,False,0.0,True,0.8,False,0.0,True,0.85,True,False,0.77,178.29,False,False,False,False,False,False,False,106.734,27.355345,25.240097,5
MILS3,MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A,BR_STOCK,MILS3,15.25,S,0.5,C,4.0,Forte,15.65,15.26,13.77,13.17,5688774.86,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,0.44,15.62,False,False,False,False,False,False,False,26.311,8.694445,2.0020468,6
E1QN34,E1QN34,BDR,EQNR (BDR: E1QN34),15.25,S,0.5,C,5.0,Forte,40.73,36.0,33.45,30.77,121445250.59,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,0.64,41.63,False,False,False,False,False,False,False,21.270001,11.03794,4.66659,7
ITUB3,ITAU UNIBANCO HOLDING S.A.,BR_STOCK,ITUB3,15.1,S,0.5,C,3.0,OK,45.34,43.07,41.66,39.28,61499176.21,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.68,46.84,False,False,False,False,False,False,False,21.816,11.004855,2.3829296,8
TPRY34,TPRY34,BDR,TPR (BDR: TPRY34),15.1,S,2.0,C,3.0,OK,152.58,143.21,141.69,134.16,165683114.65,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.48,151.52,False,False,False,False,False,True,False,60.914004,46.3769,45.2357,9
K1BF34,K1BF34,BDR,KB (BDR: K1BF34),15.07,S,2.0,C,3.0,OK,121.09,109.67,104.38,99.37,30107211.24,False,0.0,False,0.0,True,0.7,False,0.0,True,0.85,True,False,0.86,125.62,False,False,False,False,False,True,False,10.223999599999999,11.098991,4.7067623,10
