ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
GOAU4,METALURGICA GERDAU S.A.,BR_STOCK,GOAU4,17.12,S,2.0,C,2.0,Fraco,10.33,9.7,9.1,8.6,116616402.14,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.94,10.57,False,False,False,False,False,True,False,3.0550001,23.477272,0.7234907,1
R1OK34,R1OK34,BDR,ROK (BDR: R1OK34),16.75,S,2.0,C,3.0,OK,460.47,421.78,401.2,387.06,221197816.37,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,0.7,468.11,False,False,False,False,False,True,False,27.183,47.865906,14.547895,2
FDXB34,FDXB34,BDR,FDX (BDR: FDXB34),16.62,S,2.0,C,4.0,Forte,331.76,309.61,272.93,251.58,436970729.9,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.57,341.14,False,False,False,False,False,True,False,15.869,17.722223,2.660401,3
J1CI34,J1CI34,BDR,JCI (BDR: J1CI34),16.45,S,2.0,C,3.0,OK,147.75,140.04,129.38,124.12,745625250.75,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,1.27,148.38,False,False,False,False,False,True,False,13.449,45.183487,6.6686225,4
DVAI34,DVAI34,BDR,DVA (BDR: DVAI34),16.42,S,2.0,C,4.0,Forte,198.19,172.35,142.93,139.91,105871910.16,True,0.54,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.75,202.69,False,False,False,False,False,True,False,80.981004,19.111862,-17.362244,5
AAGR11,AAGR11,ETF,AAGR11,16.09,S,0.5,C,0.0,Fraco,128.99,98.43,95.75,92.91,59206.41,True,0.55,False,0.0,True,0.7,False,0.0,False,0.0,True,True,2.15,125.99,False,False,False,False,False,False,False,0.0,999.0,999.0,6
ORVR3,ORIZON VALORIZACAO DE RESIDUOS S.A.,BR_STOCK,ORVR3,16.07,S,0.5,C,1.0,Fraco,79.1,78.18,70.89,66.93,72890648.59,False,0.0,False,0.0,True,0.7,False,0.0,True,0.65,True,False,1.12,82.8,False,False,False,False,False,False,False,8.196,78.31683,5.27263,7
M1NS34,M1NS34,BDR,MNST (BDR: M1NS34),15.9,S,2.0,C,4.0,Forte,90.15,80.83,78.11,75.1,579157416.05,False,0.0,False,0.0,True,0.65,False,0.0,True,0.65,True,False,1.09,90.44,False,False,False,False,False,True,False,26.654,43.550728,10.101973,8
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,15.62,S,0.5,C,2.0,Fraco,20.06,19.17,17.81,17.03,1263779.97,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.61,20.95,False,False,False,False,False,False,False,3.066,24.168674,0.7478935,9
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,15.62,S,2.0,C,2.0,Fraco,23.47,22.16,20.69,19.68,202215167.08,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.72,24.65,False,False,False,False,False,True,False,3.066,28.277107,0.8750279,10
