ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
VLYB34,VLYB34,BDR,VLY (BDR: VLYB34),18.4,S,0.5,C,3.0,OK,13.41,12.87,12.09,11.6,60158801.47,True,0.42,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.84,14.12,False,False,False,False,False,False,False,8.556999999999999,12.08108,1.0014936,1
M1TT34,M1TT34,BDR,MAR (BDR: M1TT34),17.12,S,2.0,C,2.0,Fraco,370.56,347.3,321.35,307.04,323628944.43,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.63,372.09,False,False,False,False,False,True,False,0.0,38.842766,-23.970503,2
EUCA4,EUCATEX S.A. INDUSTRIA E COMERCIO,BR_STOCK,EUCA4,16.8,S,2.0,C,4.0,Forte,27.15,21.7,19.28,18.55,4561199.94,False,0.0,False,0.0,True,0.8,False,0.0,True,0.8,True,False,1.02,27.0,False,False,False,False,False,True,True,14.632000000000001,6.114865,0.8494994,3
FDXB34,FDXB34,BDR,FDX (BDR: FDXB34),16.62,S,2.0,C,3.0,OK,388.91,371.1,325.37,301.18,361568074.76,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.69,404.03,False,False,False,False,False,True,False,15.869,20.775108,3.11869,4
ASML34,ASML34,BDR,ASML (BDR: ASML34),16.62,S,2.0,C,4.0,Forte,1592.0,1428.51,1276.78,1169.21,2158498872.0,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.76,1603.49,False,False,False,False,False,True,False,52.236000000000004,52.943134,1409.9565,5
GOAU4,METALURGICA GERDAU S.A.,BR_STOCK,GOAU4,16.6,S,2.0,C,0.0,Fraco,10.28,9.17,8.88,8.37,55975626.55,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.59,10.51,False,False,False,False,False,True,False,0.0,0.0,0.0,6
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,16.6,S,2.0,C,2.0,Fraco,20.23,18.12,17.39,16.66,938671.98,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.99,20.91,False,False,False,False,False,True,False,3.066,24.373493,0.7542316,7
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,16.6,S,2.0,C,0.0,Fraco,23.5,20.75,20.19,19.2,133790200.0,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.6,24.42,False,False,False,False,False,True,False,0.0,0.0,0.0,8
IGTI3,IGUATEMI S.A.,BR_STOCK,IGTI3,16.45,S,2.0,C,4.0,Forte,3.62,3.3,3.13,3.02,301183.99,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,0.75,3.81,False,False,False,False,False,True,True,15.360999999999999,6.2413793,0.23089679,9
MSBR34,MSBR34,BDR,MS (BDR: MSBR34),16.1,S,2.0,C,4.0,Forte,200.51,178.72,173.59,167.66,875234747.95,False,0.0,False,0.0,True,0.6,False,0.0,True,0.8,True,False,0.8,198.07,False,False,False,False,False,True,False,16.387999999999998,18.162138,3.0298588,10
FNAM11,FNAM11,ETF,FNAM11,15.3,S,0.5,C,0.0,Fraco,0.37,0.01,0.0,0.0,2723200.04,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.77,0.0,False,False,False,False,False,False,False,0.0,999.0,999.0,11
STMN34,STMN34,BDR,STM (BDR: STMN34),15.3,S,2.0,C,2.0,Fraco,65.66,45.3,33.55,31.89,464486285.49,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.6,65.31,False,False,False,False,False,True,False,0.9079999999999999,410.37503,3.2844784,12
M2RV34,M2RV34,BDR,MRVL (BDR: M2RV34),15.3,S,2.0,C,4.0,Forte,190.69,135.31,101.56,95.22,4061525431.0,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.83,193.32,False,False,False,False,False,True,False,19.253999,62.316994,11.292119,13
S1TX34,S1TX34,BDR,STX (BDR: S1TX34),15.3,S,2.0,C,3.0,OK,810.46,570.26,401.21,349.25,2772608859.43,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.9,841.31,False,False,False,False,False,True,False,1787.97,77.11323,385.19962,14
DEAI34,DEAI34,BDR,DAL (BDR: DEAI34),15.28,S,2.0,C,3.0,OK,75.65,67.95,66.22,64.27,549770953.49,False,0.0,False,0.0,True,0.65,False,0.0,True,1.0,True,False,1.07,74.95,False,False,False,False,False,True,False,24.990000000000002,11.043796,2.4260013,15
ABUD34,ABUD34,BDR,BUD (BDR: ABUD34),15.25,S,2.0,C,3.0,OK,83.36,73.71,68.88,66.52,107564577.11,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,0.89,83.08,False,False,False,False,False,True,False,0.0,23.091413,11.155698,16
TXSA34,TXSA34,BDR,TX (BDR: TXSA34),15.1,S,0.5,C,3.0,OK,44.82,40.84,39.15,37.64,16165991.23,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,False,False,1.14,48.27,False,False,False,False,False,False,False,3.227,14.94,0.73662585,17
