ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
EUCA4,EUCATEX S.A. INDUSTRIA E COMERCIO,BR_STOCK,EUCA4,16.8,S,2.0,C,4.0,Forte,26.41,21.26,18.99,18.34,3660425.98,False,0.0,False,0.0,True,0.8,False,0.0,True,0.8,True,False,0.98,25.9,False,False,False,False,False,True,True,14.632000000000001,7.632948,0.8792489,1
SLBG34,SLBG34,BDR,SLB (BDR: SLBG34),16.75,S,2.0,C,2.0,Fraco,55.38,51.76,44.85,42.12,585045850.32,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,1.0,57.2,False,False,False,False,False,True,False,14.066,24.396477,3.0268912,2
IGTI3,IGUATEMI S.A.,BR_STOCK,IGTI3,16.45,S,2.0,C,4.0,Forte,3.58,3.27,3.1,3.0,380195.99,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,1.07,3.58,False,False,False,False,False,True,True,15.360999999999999,6.172414,0.22834544,3
BONY34,BONY34,BDR,BK (BDR: BONY34),16.25,S,2.0,C,3.0,OK,135.02,125.75,118.01,114.39,561163525.78,False,0.0,False,0.0,True,0.75,False,0.0,True,0.65,True,False,1.22,138.6,False,False,False,False,False,True,False,13.472000000000001,16.751862,2.3490727,4
GOAU4,METALURGICA GERDAU S.A.,BR_STOCK,GOAU4,16.23,S,2.0,C,1.0,Fraco,10.16,9.04,8.8,8.31,112939574.3,False,0.0,False,0.0,True,0.6,False,0.0,True,0.85,True,False,0.95,10.51,False,False,False,False,False,True,False,3.0550001,23.090908,0.7036011,5
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,16.23,S,2.0,C,2.0,Fraco,23.34,20.4,20.02,19.06,220189561.44,False,0.0,False,0.0,True,0.6,False,0.0,True,0.85,True,False,0.82,24.42,False,False,False,False,False,True,False,3.066,28.120483,0.8701812,6
G1WW34,G1WW34,BDR,GWW (BDR: G1WW34),15.62,S,2.0,C,4.0,Forte,1272.47,1133.67,1059.72,1038.54,357165778.67,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.88,1285.36,False,False,False,False,False,True,False,46.129,34.169437,15.291354,7
M1NS34,M1NS34,BDR,MNST (BDR: M1NS34),15.35,S,2.0,C,4.0,Forte,87.09,76.61,76.04,73.04,535403170.49,False,0.0,False,0.0,True,0.6,False,0.0,True,0.5,True,False,0.96,88.77,False,False,False,False,False,True,False,26.654,42.072464,9.759076,8
FNAM11,FNAM11,ETF,FNAM11,15.3,S,0.5,C,0.0,Fraco,0.37,0.01,0.0,0.0,2736150.04,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.74,0.0,False,False,False,False,False,False,False,0.0,999.0,999.0,9
IBKR34,IBKR34,BDR,IBKR (BDR: IBKR34),15.28,S,2.0,C,3.0,OK,87.0,74.42,71.0,69.41,339890121.0,False,0.0,False,0.0,True,0.65,False,0.0,True,1.0,True,False,0.97,88.44,False,False,False,False,False,True,False,23.56,37.339058,6.9394593,10
FDXB34,FDXB34,BDR,FDX (BDR: FDXB34),15.12,S,0.5,C,3.0,OK,375.78,369.48,321.34,297.92,436836732.98,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,False,False,0.64,404.03,False,False,False,False,False,False,False,15.869,20.063002,3.0133998,11
I1HG34,I1HG34,BDR,IHG (BDR: I1HG34),15.1,S,2.0,C,2.0,Fraco,148.58,138.6,135.27,131.34,20810857.96,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.74,151.64,False,False,False,False,False,True,False,0.0,30.509241,-48.94381,12
