ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,17.12,S,2.0,C,0.0,Fraco,24.13,21.83,20.57,19.56,314119503.08,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.23,24.65,False,False,False,False,False,True,False,0.0,0.0,0.0,1
GOAU4,METALURGICA GERDAU S.A.,BR_STOCK,GOAU4,17.12,S,2.0,C,0.0,Fraco,10.33,9.57,9.04,8.54,137970577.98,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.27,10.57,False,False,False,False,False,True,False,0.0,0.0,0.0,2
M1TT34,M1TT34,BDR,MAR (BDR: M1TT34),17.12,S,2.0,C,2.0,Fraco,385.3,356.84,327.51,311.69,442754766.07,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.81,388.37,False,False,False,False,False,True,False,0.0,40.43022,-24.923992,3
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,17.12,S,0.5,C,0.0,Fraco,20.64,18.93,17.71,16.94,984527.97,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.1,20.95,False,False,False,False,False,False,False,0.0,0.0,0.0,4
CTGP34,CTGP34,BDR,C (BDR: CTGP34),16.93,S,2.0,C,3.0,OK,135.15,124.48,114.76,110.23,1312817037.41,False,0.0,False,0.0,True,0.8,False,0.0,True,0.85,True,False,0.93,132.46,False,False,False,False,False,True,False,7.649,16.705809,1.204277,5
GSGI34,GSGI34,BDR,GS (BDR: GSGI34),16.8,S,2.0,C,3.0,OK,1092.61,928.2,883.98,852.45,2118579502.48,False,0.0,False,0.0,True,0.8,False,0.0,True,0.8,True,False,0.82,1073.97,False,False,False,False,False,True,False,14.548,19.952703,3.0667946,6
FDXB34,FDXB34,BDR,FDX (BDR: FDXB34),16.62,S,2.0,C,4.0,Forte,328.0,306.68,270.32,249.33,620262760.0,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.88,341.14,False,False,False,False,False,True,False,15.869,17.521368,2.6302495,7
TECN3,TECHNOS S.A.,BR_STOCK,TECN3,16.62,S,0.5,C,0.0,Fraco,8.7,8.61,7.76,7.4,838679.98,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,2.93,8.99,False,False,False,False,False,False,False,0.0,0.0,0.0,8
BIIB34,BIIB34,BDR,BIIB (BDR: BIIB34),16.6,S,2.0,C,3.0,OK,196.45,187.54,181.04,171.7,137239574.97,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.67,205.97,False,False,False,False,False,True,False,7.7010006,21.100965,1.5545989,9
I1XC34,I1XC34,BDR,IX (BDR: I1XC34),16.55,S,2.0,C,2.0,Fraco,39.76,33.89,31.16,29.84,31921950.81,False,0.0,False,0.0,True,0.8,False,0.0,True,0.7,True,False,2.07,40.0,False,False,False,False,False,True,False,10.418,15.903999,1.503708,10
J1CI34,J1CI34,BDR,JCI (BDR: J1CI34),16.45,S,2.0,C,3.0,OK,147.4,139.34,128.75,123.51,581797356.91,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,1.09,148.38,False,False,False,False,False,True,False,13.449,44.939022,6.652825,11
PFIN11,PFIN11,ETF,PFIN11,16.07,S,0.5,C,0.0,Fraco,64.42,60.63,56.17,54.89,2817537.46,False,0.0,False,0.0,True,0.7,False,0.0,True,0.65,True,False,1.04,66.48,False,False,False,False,False,False,False,0.0,0.0,0.0,12
