ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,17.12,S,2.0,C,2.0,Fraco,23.43,22.26,20.72,19.72,427838834.57,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.46,24.65,False,False,False,False,False,True,False,3.066,28.228916,0.87353665,1
GOAU4,METALURGICA GERDAU S.A.,BR_STOCK,GOAU4,17.12,S,2.0,C,2.0,Fraco,10.32,9.74,9.11,8.61,83596125.53,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.64,10.57,False,False,False,False,False,True,False,3.0550001,23.999998,0.7227903,2
GOAU3,METALURGICA GERDAU S.A.,BR_STOCK,GOAU3,16.95,S,0.5,C,2.0,Fraco,9.35,9.17,8.71,8.31,182325.01,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.56,9.73,False,False,False,False,False,False,False,3.0550001,21.250002,0.64750695,3
DVAI34,DVAI34,BDR,DVA (BDR: DVAI34),16.42,S,2.0,C,4.0,Forte,198.54,173.27,143.46,140.21,91581336.86,True,0.54,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.64,202.69,False,False,False,False,False,True,False,80.981004,19.108757,-17.392904,4
WEST3,WESTWING COMERCIO VAREJISTA S.A.,BR_STOCK,WEST3,16.08,S,2.0,C,2.0,Fraco,8.26,8.0,6.56,6.2,204848.01,True,0.43,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.92,8.65,False,False,False,False,False,True,False,-0.9520000000000001,999.0,0.4164776,5
M1NS34,M1NS34,BDR,MNST (BDR: M1NS34),15.9,S,2.0,C,4.0,Forte,91.21,81.23,78.27,75.24,633104747.82,False,0.0,False,0.0,True,0.65,False,0.0,True,0.65,True,False,1.14,90.49,False,False,False,False,False,True,False,26.654,44.0628,10.220753,6
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,15.62,S,2.0,C,2.0,Fraco,19.99,19.23,17.84,17.06,813592.99,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.93,20.95,False,False,False,False,False,True,False,3.066,24.084337,0.7452837,7
I1EX34,I1EX34,BDR,IEX (BDR: I1EX34),15.45,S,2.0,C,3.0,OK,214.5,207.45,193.76,186.03,83829603.0,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.57,223.85,False,False,False,False,False,True,False,12.748000000000001,31.777779,3.9353466,8
I1XC34,I1XC34,BDR,IX (BDR: I1XC34),15.43,S,2.0,C,2.0,Fraco,38.15,34.59,31.53,30.09,6027700.24,False,0.0,False,0.0,True,0.8,False,0.0,True,0.85,True,False,0.34,40.0,False,False,False,False,False,True,False,10.418,15.321285,1.4428185,9
FNAM11,FNAM11,ETF,FNAM11,15.3,S,0.5,C,0.0,Fraco,0.37,0.01,0.0,0.0,5507450.07,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.46,0.0,False,False,False,False,False,False,False,0.0,999.0,999.0,10
