ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
CSMG3,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,BR_STOCK,CSMG3,17.12,S,2.0,C,0.0,Fraco,59.94,55.02,50.63,46.35,336850804.28,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.55,59.62,False,False,False,False,False,True,False,0.0,0.0,0.0,1
Z2DV34,Z2DV34,BDR,ZD (BDR: Z2DV34),17.12,S,2.0,C,2.0,Fraco,48.55,45.15,39.48,38.63,29434310.94,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.87,48.51,False,False,False,False,False,True,False,2.076,41.495728,1.0625027,2
W1EL34,W1EL34,BDR,WELL (BDR: W1EL34),16.45,S,2.0,C,3.0,OK,223.73,211.41,201.33,194.67,441906565.5,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,0.48,223.94,False,False,False,False,False,True,False,3.665,108.6068,3.6988113,3
DVAI34,DVAI34,BDR,DVA (BDR: DVAI34),16.44,S,2.0,C,3.0,OK,213.36,185.21,149.35,143.85,164396440.79,True,0.55,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.94,215.33,False,False,False,False,False,True,False,80.981004,20.554913,-18.691196,4
VLYB34,VLYB34,BDR,VLY (BDR: VLYB34),16.41,S,2.0,C,3.0,OK,14.78,13.57,12.53,12.01,89795932.72,True,0.59,False,0.0,True,0.75,False,0.0,False,0.0,True,False,0.79,14.72,False,False,False,False,False,True,False,8.556999999999999,13.315315,1.1038088,5
L1YG34,L1YG34,BDR,LYG (BDR: L1YG34),16.27,S,2.0,C,3.0,OK,5.75,5.41,5.29,5.09,126824012.5,False,0.0,False,0.0,True,0.65,False,0.0,True,0.8,True,False,0.62,5.78,False,False,False,False,False,True,False,10.784,14.375,1.3084074,6
CTGP34,CTGP34,BDR,C (BDR: CTGP34),15.88,S,2.0,C,3.0,OK,144.98,130.9,118.54,113.48,1438327400.25,False,0.0,False,0.0,True,0.75,False,0.0,True,0.5,True,False,0.67,147.96,False,False,False,False,False,True,False,7.649,17.94307,1.291869,7
FNAM11,FNAM11,ETF,FNAM11,15.3,S,0.5,C,0.0,Fraco,0.36,0.01,0.0,0.0,21828240.87,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,True,2.72,0.0,False,False,False,False,False,False,False,0.0,0.0,0.0,8
MUTC34,MUTC34,BDR,MU (BDR: MUTC34),15.3,S,2.0,C,4.0,Forte,1213.56,788.62,495.78,420.72,96541605496.79,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.47,1213.56,False,False,False,False,False,True,False,39.823002,27.425087,18.891916,9
DDNB34,DDNB34,BDR,DD (BDR: DDNB34),15.3,S,2.0,C,2.0,Fraco,137.8,51.1,45.9,42.64,185048730.3,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.33,144.85,False,False,False,False,False,True,False,0.8959999999999999,120.8772,1.3409104,10
A1MT34,A1MT34,BDR,AMAT (BDR: A1MT34),15.3,S,2.0,C,4.0,Forte,668.0,463.29,364.34,326.42,10711129500.0,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.38,641.18,False,False,False,False,False,True,False,39.692003,63.018867,22.182373,11
DEEC34,DEEC34,BDR,DE (BDR: DEEC34),15.28,S,0.5,C,1.0,Fraco,630.76,574.17,550.06,528.17,786638469.46,False,0.0,False,0.0,True,0.65,False,0.0,True,1.0,True,False,1.04,612.98,False,False,False,False,False,False,False,18.349001,35.716877,6.212732,12
DMVF3,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,BR_STOCK,DMVF3,15.1,S,0.5,C,0.0,Fraco,6.98,6.68,6.55,6.1,235924.0,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.79,7.19,False,False,False,False,False,False,False,0.0,0.0,0.0,13
CVSH34,CVSH34,BDR,CVS (BDR: CVSH34),14.8,S,2.0,C,2.0,Fraco,104.66,90.58,81.15,79.89,933392869.1,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.9,103.12,False,False,False,False,False,True,False,3.7520003,45.90351,1.7201085,14
CRIN34,CRIN34,BDR,CRI (BDR: CRIN34),14.8,S,2.0,C,2.0,Fraco,43.09,37.88,35.56,34.15,32314526.9,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.78,44.28,False,False,False,False,False,True,False,10.204001,17.305222,1.71026,15
TEND3,CONSTRUTORA TENDA S.A.,BR_STOCK,TEND3,14.8,S,2.0,C,0.0,Fraco,36.09,31.7,28.87,27.64,118079262.5,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.4,36.32,False,False,False,False,False,True,False,0.0,0.0,0.0,16
G1WW34,G1WW34,BDR,GWW (BDR: G1WW34),14.8,S,2.0,C,4.0,Forte,1374.78,1240.68,1121.15,1080.62,311779488.94,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.55,1377.08,False,False,False,False,False,True,True,46.129,36.966393,16.52082,17
CSXC34,CSXC34,BDR,CSX (BDR: CSXC34),14.8,S,2.0,C,3.0,OK,47.44,45.49,40.66,39.14,460192370.84,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.76,48.03,False,False,False,False,False,True,False,23.684,29.104294,6.492404,18
F1TN34,F1TN34,BDR,FTNT (BDR: F1TN34),14.8,S,2.0,C,4.0,Forte,149.93,119.53,93.81,91.28,980461489.76,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.91,150.07,False,False,False,False,False,True,False,132.392,57.88803,111.22403,19
G1LW34,G1LW34,BDR,GLW (BDR: G1LW34),14.8,S,2.0,C,4.0,Forte,228.01,182.0,136.37,123.02,5211259172.43,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,True,1.61,217.09,False,False,False,False,False,True,False,16.74,109.62019,17.508255,20
H1ST34,H1ST34,BDR,HST (BDR: H1ST34),14.8,S,2.0,C,4.0,Forte,24.98,22.66,19.89,19.01,185719227.26,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.68,25.41,False,False,False,False,False,True,False,14.87,16.993196,2.506019,21
WEST3,WESTWING COMERCIO VAREJISTA S.A.,BR_STOCK,WEST3,14.8,S,0.5,C,0.0,Fraco,3.98,3.42,2.83,2.67,322380.0,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,2.23,4.02,False,False,False,False,False,False,False,0.0,0.0,0.0,22
TGTB34,TGTB34,BDR,TGT (BDR: TGTB34),14.8,S,2.0,C,3.0,OK,139.57,127.18,113.12,106.76,563594436.47,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.81,141.25,False,False,False,False,False,True,False,22.015,18.437252,3.8664196,23
CATP34,CATP34,BDR,CAT (BDR: CATP34),14.8,S,2.0,C,3.0,OK,1057.01,890.74,738.81,680.56,4885530918.43,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.31,1023.29,False,False,False,False,False,True,False,51.331,52.61374,26.091925,24
C2GN34,C2GN34,BDR,CGNX (BDR: C2GN34),14.8,S,0.5,C,3.0,OK,66.54,61.64,49.99,48.47,137661347.43,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.03,69.0,False,False,False,False,False,False,False,9.748,78.28235,7.4924,25
