ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,16.95,S,2.0,C,0.0,Fraco,19.91,18.73,17.63,16.88,1371798.99,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,1.96,20.91,False,False,False,False,False,True,False,0.0,0.0,0.0,1
M1TT34,M1TT34,BDR,MAR (BDR: M1TT34),16.95,S,2.0,C,2.0,Fraco,376.96,353.5,325.29,309.97,526526784.22,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.95,388.37,False,False,False,False,False,True,False,0.0,39.513626,-24.3845,2
CTGP34,CTGP34,BDR,C (BDR: CTGP34),16.75,S,2.0,C,3.0,OK,129.09,123.22,114.1,109.65,1172897765.01,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,0.96,131.95,False,False,False,False,False,True,False,7.649,15.937036,1.1502784,3
I1XC34,I1XC34,BDR,IX (BDR: I1XC34),16.38,S,2.0,C,2.0,Fraco,38.81,33.32,30.87,29.64,15110441.17,False,0.0,False,0.0,True,0.75,False,0.0,True,0.7,True,False,1.42,40.0,False,False,False,False,False,True,False,10.418,15.524,1.4677794,4
GSGI34,GSGI34,BDR,GS (BDR: GSGI34),16.27,S,2.0,C,3.0,OK,1048.58,917.56,882.04,850.99,2119335281.02,False,0.0,False,0.0,True,0.65,False,0.0,True,0.8,True,False,0.95,1027.22,False,False,False,False,False,True,False,14.548,19.14865,2.943209,5
M1NS34,M1NS34,BDR,MNST (BDR: M1NS34),15.72,S,2.0,C,4.0,Forte,89.1,78.9,77.27,74.35,500296491.43,False,0.0,False,0.0,True,0.6,False,0.0,True,0.65,True,False,1.07,89.85,False,False,False,False,False,True,False,26.654,43.04348,9.984312,6
T1EV34,T1EV34,BDR,TEVA (BDR: T1EV34),15.62,S,0.5,C,3.0,OK,34.64,32.58,30.66,27.76,229485700.6,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,False,False,1.15,36.99,False,False,False,False,False,False,False,21.599,25.850744,4.902349,7
TECN3,TECHNOS S.A.,BR_STOCK,TECN3,15.62,S,0.5,C,0.0,Fraco,8.55,8.6,7.72,7.37,141930.0,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.51,8.99,False,False,False,False,False,False,False,0.0,0.0,0.0,8
GOAU4,METALURGICA GERDAU S.A.,BR_STOCK,GOAU4,15.45,S,0.5,C,0.0,Fraco,9.99,9.47,9.01,8.5,200717077.4,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,False,False,2.48,10.55,False,False,False,False,False,False,False,0.0,0.0,0.0,9
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,15.45,S,0.5,C,0.0,Fraco,23.14,21.55,20.48,19.48,266707004.97,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,False,False,1.29,24.42,False,False,False,False,False,False,False,0.0,0.0,0.0,10
NOKI34,NOKI34,BDR,NOK (BDR: NOKI34),15.3,S,2.0,C,2.0,Fraco,16.25,11.53,8.43,7.52,2633977450.0,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.47,16.63,False,False,False,False,False,True,False,3.7249997,101.5625,3.6949296,11
A1MD34,A1MD34,BDR,AMD (BDR: A1MD34),15.3,S,2.0,C,3.0,OK,510.13,334.24,258.63,239.21,16918295309.56,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.03,527.2,False,False,False,False,False,True,False,8.062999999999999,170.61205,12.899335,12
MUTC34,MUTC34,BDR,MU (BDR: MUTC34),15.3,S,2.0,C,4.0,Forte,1035.5,569.36,405.07,343.15,46813807666.0,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.81,981.0,False,False,False,False,False,True,False,39.823002,48.913555,16.119993,13
FNAM11,FNAM11,ETF,FNAM11,15.3,S,2.0,C,0.0,Fraco,0.37,0.01,0.0,0.0,412180.01,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.08,0.0,False,False,False,False,False,True,False,0.0,0.0,0.0,14
M2RV34,M2RV34,BDR,MRVL (BDR: M2RV34),15.3,S,2.0,C,3.0,OK,219.43,149.26,106.38,99.08,7163963566.68,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.99,218.26,False,False,False,False,False,True,False,16.028000000000002,75.405495,12.9940195,15
D1EL34,D1EL34,BDR,DELL (BDR: D1EL34),15.3,S,2.0,C,2.0,Fraco,465.96,221.81,161.57,155.09,8885493122.3,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,True,1.52,429.15,False,False,False,False,False,True,False,0.0,53.743942,-123.0095,16
S1TX34,S1TX34,BDR,STX (BDR: S1TX34),15.3,S,2.0,C,3.0,OK,921.26,626.18,427.18,370.78,3087458284.91,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.97,905.39,False,False,False,False,False,True,False,1787.97,87.240524,437.8612,17
W1DC34,W1DC34,BDR,WDC (BDR: W1DC34),15.3,S,2.0,C,4.0,Forte,546.2,402.77,276.07,232.76,3234748315.89,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.91,553.5,False,False,False,False,False,True,False,85.920995,32.647938,26.115229,18
STMN34,STMN34,BDR,STM (BDR: STMN34),15.3,S,2.0,C,2.0,Fraco,69.02,49.59,35.15,33.2,683539605.77,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.92,71.07,False,False,False,False,False,True,False,0.9079999999999999,431.375,3.4525535,19
BOTZ39,GLOBAL X ROBOTICS & ARTIFICIAL INTELLIGENCE ETF,BDR,BOTZ (BDR: BOTZ39),15.1,S,2.0,C,0.0,Fraco,40.6,37.39,36.97,36.45,51459970.27,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,1.2,41.71,False,False,False,False,False,True,False,0.0,40.425606,999.0,20
E1MN34,E1MN34,BDR,EMN (BDR: E1MN34),14.95,S,0.5,C,1.0,Fraco,75.49,73.22,68.55,67.14,85329213.21,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,0.91,79.05,False,False,False,False,False,False,False,6.633,21.817919,1.4359081,21
J2AZ34,J2AZ34,BDR,JAZZ (BDR: J2AZ34),14.8,S,2.0,C,1.0,Fraco,232.64,208.81,180.72,167.99,208364015.45,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.0,243.32,False,False,False,False,False,True,False,0.676,1938.6667,3.2183716,22
B1WA34,B1WA34,BDR,BWA (BDR: B1WA34),14.8,S,2.0,C,3.0,OK,71.06,58.42,51.73,49.51,194684496.51,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.73,73.88,False,False,False,False,False,True,False,7.2670005,41.31395,2.6602275,23
S1KM34,S1KM34,BDR,SKM (BDR: S1KM34),14.8,S,2.0,C,1.0,Fraco,44.43,35.74,27.89,26.35,327702219.96,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,True,2.87,39.97,False,False,False,False,False,True,False,2.609,66.31343,2.0782678,24
GPRK34,GPRK34,BDR,GPRK (BDR: GPRK34),14.8,S,2.0,C,3.0,OK,11.34,9.47,8.44,7.92,17392135.55,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,True,2.79,10.49,False,False,False,False,False,True,False,22.567,10.698114,2.5071857,25
L1RC34,L1RC34,BDR,LRCX (BDR: L1RC34),14.8,S,2.0,C,4.0,Forte,317.12,265.37,217.61,193.67,2525321340.0,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.89,333.33,False,False,False,False,False,True,False,66.762,60.060604,37.46692,26
