ticker,name,category,display,technical_score,technical_tier,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,roe,pl,pvp,rank
A1ME34,A1ME34,BDR,AME (BDR: A1ME34),10.6,A,3.0,OK,241.38,225.82,211.5,204.68,364965119.1,False,0.0,False,0.0,False,0.0,False,0.0,True,0.55,True,False,1.03,242.0,14.626999,36.5174,5.066751,297
BDOM11,BDOM11,ETF,BDOM11,10.6,A,0.0,Fraco,142.6,143.82,136.38,132.13,3150747.13,False,0.0,False,0.0,True,0.8,False,0.0,True,0.8,False,False,9.09,154.54,0.0,999.0,999.0,298
DESK3,DESKTOP S.A.,BR_STOCK,DESK3,10.6,A,1.0,Fraco,18.39,16.5,15.7,13.83,6013529.8,False,0.0,False,0.0,False,0.0,False,0.0,True,0.55,True,False,0.6,18.71,5.7550002000000005,29.66129,1.5144528,299
H1TH34,H1TH34,BDR,HTHT (BDR: H1TH34),10.6,A,3.0,OK,48.81,50.59,46.65,43.48,86842217.53,False,0.0,False,0.0,True,1.0,True,0.55,True,0.75,False,False,1.05,55.02,40.549,20.858976,7.996072,300
TIRB11,TIRB11,ETF,TIRB11,10.6,A,0.0,Fraco,14.84,14.66,13.36,12.68,94619.84,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,False,False,0.75,15.91,0.0,999.0,999.0,301
BEES3,BANESTES S.A. - BCO EST ESPIRITO SANTO,BR_STOCK,BEES3,10.6,A,2.0,Fraco,8.95,8.72,8.02,7.86,50120.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.55,True,False,0.53,9.41,14.352,9.132652,1.2835221,302
RSSL39,GLOBAL X RUSSELL 2000 ETF,BDR,RSSL (BDR: RSSL39),10.6,A,1.0,Fraco,112.18,102.04,99.44,97.07,842247.44,False,0.0,False,0.0,False,0.0,True,0.55,False,0.0,True,False,0.89,110.55,0.0,19.745173,999.0,303
VISC11,VISC11,ETF,VISC11,10.55,A,0.0,Fraco,110.78,108.74,105.85,103.65,17293976.39,True,0.35,False,0.0,False,0.0,False,0.0,False,0.0,True,True,1.71,110.64,0.0,76.93055,999.0,304
GGRC11,GGRC11,ETF,GGRC11,10.54,A,0.0,Fraco,10.15,10.04,9.63,9.47,11848845.65,True,0.35,False,0.0,False,0.0,False,0.0,False,0.0,True,False,1.17,10.21,0.0,999.0,999.0,305
VGIA11,VGIA11,ETF,VGIA11,10.54,A,0.0,Fraco,9.9,9.73,9.32,9.01,3201075.78,True,0.35,False,0.0,False,0.0,False,0.0,False,0.0,True,False,1.16,9.97,0.0,999.0,999.0,306
HSML11,HSML11,ETF,HSML11,10.54,A,0.0,Fraco,94.86,93.66,87.88,84.98,6420694.0,True,0.35,False,0.0,False,0.0,False,0.0,False,0.0,True,False,1.47,95.64,0.0,20.84835,999.0,307
VGIP11,VGIP11,ETF,VGIP11,10.53,A,1.0,Fraco,82.0,79.92,77.11,76.56,1312410.0,True,0.34,False,0.0,False,0.0,False,0.0,False,0.0,True,False,0.51,82.9,0.0,8.039216,999.0,308
IRFM11,IRFM11,ETF,IRFM11,10.53,A,0.0,Fraco,100.66,99.56,97.42,96.13,3575443.33,True,0.34,False,0.0,False,0.0,False,0.0,False,0.0,True,False,0.94,101.85,0.0,999.0,999.0,309
J1CI34,J1CI34,BDR,JCI (BDR: J1CI34),10.5,A,3.0,OK,143.14,137.71,124.65,120.14,860991390.53,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,False,2.13,147.32,12.640001000000002,48.033558,6.6345305,310
TRBL11,TRBL11,ETF,TRBL11,10.5,A,0.0,Fraco,77.24,76.84,67.72,64.36,1412796.8,False,0.0,False,0.0,False,0.0,True,0.7,True,0.8,False,False,0.3,87.99,6.800000000000001,999.0,0.7892182,311
BPAC5,BCO BTG PACTUAL S.A.,BR_STOCK,BPAC5,10.5,A,4.0,Forte,17.47,14.53,12.11,11.47,158976.99,False,0.0,False,0.0,False,0.0,True,0.85,True,0.65,False,False,0.56,21.4,23.868000000000002,12.478571,1.2015957,312
BPAC11,BCO BTG PACTUAL S.A.,BR_STOCK,BPAC11,10.5,A,3.0,OK,59.02,58.87,54.73,51.66,433832415.36,False,0.0,False,0.0,False,0.0,True,0.55,True,0.7,False,False,1.24,65.5,23.868000000000002,96.12378,4.0594263,313
B1TI34,B1TI34,BDR,BTI (BDR: B1TI34),10.5,A,4.0,Forte,59.56,58.35,56.04,55.33,136946072.92,False,0.0,False,0.0,False,0.0,False,0.0,True,0.5,True,False,0.7,60.0,15.824,12.565402,10.391322,314
NBOV11,NBOV11,ETF,NBOV11,10.5,A,0.0,Fraco,127.16,127.61,120.81,116.67,54805.96,False,0.0,False,0.0,True,0.8,False,0.0,True,0.75,False,False,0.1,134.83,0.0,999.0,999.0,315
AIEC11,AIEC11,ETF,AIEC11,10.5,A,1.0,Fraco,61.0,60.16,54.27,51.87,289384.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.5,True,False,0.12,62.8,0.0,10.481099,999.0,316
P1AC34,P1AC34,BDR,PCAR (BDR: P1AC34),10.5,A,2.0,Fraco,116.51,120.14,112.55,108.73,334341879.04,False,0.0,False,0.0,True,1.0,True,0.55,True,0.7,False,False,0.88,129.31,13.108,24.789364,3.1776898,317
UTLL11,UTLL11,ETF,UTLL11,10.5,A,0.0,Fraco,136.21,131.46,117.76,117.31,27024882.59,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,False,0.98,143.85,0.0,999.0,999.0,318
T2ER34,T2ER34,BDR,TER (BDR: T2ER34),10.5,A,4.0,Forte,382.48,331.89,246.58,213.28,1461513493.98,False,0.0,False,0.0,False,0.0,False,0.0,True,0.75,False,False,0.81,422.11,28.749999999999996,70.961044,21.354477,319
CMDB11,CMDB11,ETF,CMDB11,10.5,A,0.0,Fraco,17.48,17.3,15.33,14.79,136518.8,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,False,0.66,18.37,0.0,999.0,999.0,320
BBOV11,BBOV11,ETF,BBOV11,10.5,A,0.0,Fraco,98.6,98.16,88.7,84.6,591698.59,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,False,0.51,104.8,0.0,999.0,999.0,321
GPRK34,GPRK34,BDR,GPRK (BDR: GPRK34),10.5,A,3.0,OK,9.41,9.12,8.06,7.66,7641070.44,False,0.0,False,0.0,False,0.0,True,0.7,True,0.55,False,False,1.69,10.22,22.118999,9.905263,1.9793856,322
SMAC11,SMAC11,ETF,SMAC11,10.5,A,0.0,Fraco,62.28,62.64,60.57,59.26,545510.51,False,0.0,False,0.0,True,0.8,False,0.0,True,0.75,False,False,0.51,65.96,0.0,999.0,999.0,323
PLAG11,PLAG11,ETF,PLAG11,10.5,A,1.0,Fraco,64.7,64.2,54.63,52.5,53765.7,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,False,0.27,66.83,0.0,9.500733,999.0,324
N1OV34,N1OV34,BDR,NOV (BDR: N1OV34),10.5,A,1.0,Fraco,20.18,19.4,17.17,16.05,93359764.59,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,False,0.88,20.93,1.52,80.72,1.17033,325
I1NC34,I1NC34,BDR,INCY (BDR: I1NC34),10.45,A,5.0,Forte,99.85,95.56,97.93,93.94,117701181.2,False,0.0,False,0.0,True,0.5,True,0.7,True,0.4,True,False,0.75,102.86,30.823,14.103107,3.83478,326
A1ES34,A1ES34,BDR,AES (BDR: A1ES34),10.4,A,2.0,Fraco,14.34,14.27,14.18,13.8,181791695.23,False,0.0,False,0.0,False,0.0,True,0.55,True,0.65,True,False,1.09,14.37,1.9539999999999997,10.946566,2.5135846,327
Z1OM34,Z1OM34,BDR,ZM (BDR: Z1OM34),10.4,A,5.0,Forte,105.13,83.62,85.04,83.43,559756890.76,False,0.0,False,0.0,False,0.0,True,0.55,True,0.4,True,False,1.09,109.5,20.275000000000002,17.011328,3.167616,328
FIQE3,UNIFIQUE TELECOMUNICAÇÕES S.A.,BR_STOCK,FIQE3,10.4,A,5.0,Forte,7.03,6.31,5.06,4.61,5347018.16,False,0.0,False,0.0,False,0.0,True,0.7,False,0.0,False,False,1.13,7.76,18.061,11.915256,2.4477718,329
