ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_weekly,cup_handle_weekly,double_bottom_weekly,inverse_hs_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
ARNC34,ARNC34,BDR,HWM (BDR: ARNC34),16.7,S,2.0,C,4.0,Forte,272.54,245.67,221.11,211.39,1395662121.52,False,0.0,False,0.0,True,1.0,True,0.5,True,0.6,True,True,2.16,259.82,False,False,False,False,False,True,False,30.442999999999998,73.26344,20.447145,1
S2GM34,S2GM34,BDR,SGML (BDR: S2GM34),15.4,S,2.0,C,0.0,Fraco,23.65,15.59,12.13,10.62,67148923.62,False,0.0,False,0.0,False,0.0,True,0.8,True,0.65,True,False,1.01,23.46,False,False,False,False,False,True,False,-67.376,999.0,46.555115,2
DEAI34,DEAI34,BDR,DAL (BDR: DEAI34),15.4,S,3.3,C,3.0,OK,73.11,66.36,65.5,63.53,530132531.36,False,0.0,False,0.0,True,1.0,True,0.65,True,0.55,True,False,0.93,75.02,False,False,False,True,False,True,False,24.990000000000002,10.672993,2.3445468,3
J2AZ34,J2AZ34,BDR,JAZZ (BDR: J2AZ34),15.3,S,3.5,C,1.0,Fraco,226.96,193.16,170.41,158.49,249139673.37,False,0.0,False,0.0,False,0.0,True,0.8,True,0.85,True,False,1.13,230.4,False,False,False,False,True,True,False,0.676,2063.2727,3.2286794,4
ABUD34,ABUD34,BDR,BUD (BDR: ABUD34),15.23,S,2.0,C,3.0,OK,80.25,73.5,68.39,66.61,121250768.25,False,0.0,False,0.0,True,0.85,True,0.65,True,0.65,True,False,0.63,82.91,False,False,False,False,False,True,False,0.0,22.229918,10.7395,5
TSNF34,TSNF34,BDR,TSN (BDR: TSNF34),15.2,S,3.7,C,3.0,OK,67.94,63.46,59.14,57.88,124674184.7,False,0.0,False,0.0,True,0.8,True,0.65,True,0.7,True,False,0.58,69.48,False,False,False,False,True,True,False,2.619,53.496067,1.3272125,6
T1WL34,T1WL34,BDR,TWLO (BDR: T1WL34),15.1,S,3.8,C,3.0,OK,197.07,136.14,127.62,123.07,509133122.9,False,0.0,False,0.0,False,0.0,True,0.65,True,0.9,True,False,0.75,200.0,False,False,False,False,True,True,False,1.317,303.18463,3.858897,7
TSMC34,TSMC34,BDR,TSM (BDR: TSMC34),15.1,S,2.0,C,4.0,Forte,414.15,362.33,327.95,307.65,5518668358.02,False,0.0,False,0.0,False,0.0,True,0.65,True,0.9,True,False,0.95,419.7,False,False,False,False,False,True,False,36.21,35.518867,63.351322,8
M2AS34,M2AS34,BDR,MASI (BDR: M2AS34),15.05,S,2.0,C,3.0,OK,178.5,177.47,154.9,153.16,216152433.0,True,0.45,False,0.0,False,0.0,True,0.8,True,0.8,True,False,1.45,178.76,False,False,False,False,False,True,False,24.987000000000002,44.2928,12.894604,9
I1EX34,I1EX34,BDR,IEX (BDR: I1EX34),15.03,S,2.0,C,3.0,OK,214.87,200.2,187.3,181.37,121699571.92,False,0.0,False,0.0,True,0.85,True,0.5,True,0.7,True,False,0.74,223.85,False,False,False,False,False,True,False,12.748000000000001,31.785501,3.9799585,10
I1HG34,I1HG34,BDR,IHG (BDR: I1HG34),15.0,S,2.0,C,2.0,Fraco,146.95,136.93,134.18,130.34,39481790.43,False,0.0,False,0.0,True,1.0,True,0.65,True,0.85,True,False,1.24,148.38,False,False,False,False,False,True,False,0.0,30.236624,-48.40687,11
A1DI34,A1DI34,BDR,ADI (BDR: A1DI34),15.0,S,3.7,C,3.0,OK,408.52,347.06,298.44,283.27,1595664370.37,False,0.0,False,0.0,False,0.0,True,0.65,True,0.85,True,False,1.16,416.0,False,False,False,False,True,True,False,7.861999999999999,74.41166,5.9028707,12
ASML34,ASML34,BDR,ASML (BDR: ASML34),15.0,S,3.7,C,4.0,Forte,1516.6,1397.23,1240.23,1127.37,2607032324.83,False,0.0,False,0.0,True,0.8,True,0.5,False,0.0,True,False,1.08,1545.52,False,False,False,False,True,True,False,52.236000000000004,50.085865,1329.49,13
FMXB34,FMXB34,BDR,KOF (BDR: FMXB34),14.93,S,0.5,C,3.0,OK,106.13,100.7,96.0,92.91,12900101.17,False,0.0,False,0.0,True,0.85,True,0.65,True,1.0,True,False,0.57,108.34,False,False,False,False,False,False,False,15.825,999.0,2.7971468,14
