ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
GOAU4,METALURGICA GERDAU S.A.,BR_STOCK,GOAU4,17.12,S,2.0,C,0.0,Fraco,10.33,9.57,9.04,8.54,137464407.98,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.27,10.57,False,False,False,False,False,True,False,0.0,0.0,0.0,1
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,17.12,S,0.5,C,2.0,Fraco,20.64,18.93,17.71,16.94,982463.97,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.09,20.95,False,False,False,False,False,False,False,3.066,24.86747,0.76951754,2
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,17.12,S,2.0,C,0.0,Fraco,24.13,21.83,20.57,19.56,313856486.08,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.23,24.65,False,False,False,False,False,True,False,0.0,0.0,0.0,3
M1TT34,M1TT34,BDR,MAR (BDR: M1TT34),16.95,S,2.0,C,2.0,Fraco,376.75,355.61,326.7,311.08,367778452.25,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.66,388.37,False,False,False,False,False,True,False,0.0,39.367817,-24.370916,4
CTGP34,CTGP34,BDR,C (BDR: CTGP34),16.75,S,2.0,C,3.0,OK,129.93,124.04,114.53,110.02,1152307527.44,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,0.85,132.46,False,False,False,False,False,True,False,7.649,16.060568,1.1577634,5
TECN3,TECHNOS S.A.,BR_STOCK,TECN3,16.62,S,0.5,C,4.0,Forte,8.7,8.61,7.76,7.4,838679.98,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,2.93,8.99,False,False,False,False,False,False,False,17.363999999999997,7.981651,1.2100139,6
I1XC34,I1XC34,BDR,IX (BDR: I1XC34),16.55,S,2.0,C,2.0,Fraco,39.25,33.69,31.06,29.77,39089467.5,False,0.0,False,0.0,True,0.8,False,0.0,True,0.7,True,False,3.29,40.0,False,False,False,False,False,True,False,10.418,15.63745,1.4844201,7
J1CI34,J1CI34,BDR,JCI (BDR: J1CI34),16.45,S,2.0,C,3.0,OK,146.96,139.12,128.51,123.3,778491243.57,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,1.55,147.32,False,False,False,False,False,True,False,13.449,44.9419,6.6329665,8
GSGI34,GSGI34,BDR,GS (BDR: GSGI34),16.45,S,2.0,C,3.0,OK,1041.02,922.98,881.9,850.56,1905474715.59,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,0.8,1073.97,False,False,False,False,False,True,False,14.548,19.024488,2.9219892,9
PFIN11,PFIN11,ETF,PFIN11,16.07,S,0.5,C,0.0,Fraco,64.42,60.63,56.17,54.89,2817537.46,False,0.0,False,0.0,True,0.7,False,0.0,True,0.65,True,False,1.04,66.48,False,False,False,False,False,False,False,0.0,999.0,999.0,10
M1NS34,M1NS34,BDR,MNST (BDR: M1NS34),15.72,S,2.0,C,4.0,Forte,89.04,79.5,77.52,74.6,383787958.43,False,0.0,False,0.0,True,0.6,False,0.0,True,0.65,True,False,0.79,89.86,False,False,False,False,False,True,False,26.654,43.014496,9.977589,11
I1EX34,I1EX34,BDR,IEX (BDR: I1EX34),15.45,S,2.0,C,3.0,OK,215.34,204.53,192.14,184.67,111249810.27,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.73,219.15,False,False,False,False,False,True,False,12.748000000000001,31.807976,3.9507575,12
NOKI34,NOKI34,BDR,NOK (BDR: NOKI34),15.3,S,2.0,C,2.0,Fraco,16.73,11.88,8.57,7.65,2353438480.41,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.16,17.11,False,False,False,False,False,True,False,3.7249997,104.5625,3.8040721,13
