ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,17.12,S,2.0,C,0.0,Fraco,23.48,21.94,20.61,19.6,249787279.13,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.95,24.65,False,False,False,False,False,True,False,0.0,0.0,0.0,1
GOAU4,METALURGICA GERDAU S.A.,BR_STOCK,GOAU4,17.12,S,2.0,C,0.0,Fraco,10.16,9.61,9.06,8.56,178958237.31,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.6,10.57,False,False,False,False,False,True,False,0.0,0.0,0.0,2
M1TT34,M1TT34,BDR,MAR (BDR: M1TT34),17.12,S,2.0,C,2.0,Fraco,392.51,358.17,328.38,312.33,774962735.55,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,1.46,388.37,False,False,False,False,False,True,False,0.0,41.05753,-25.390388,3
C1FG34,C1FG34,BDR,CFG (BDR: C1FG34),16.95,S,0.5,C,3.0,OK,63.98,62.72,59.61,57.35,186330936.05,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.65,66.0,False,False,False,False,False,False,False,7.739,15.161139,1.1328305,4
CTGP34,CTGP34,BDR,C (BDR: CTGP34),16.75,S,2.0,C,3.0,OK,132.47,124.85,115.0,110.43,1379376872.74,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,1.0,135.67,False,False,False,False,False,True,False,7.649,16.35432,1.1803966,5
FDXB34,FDXB34,BDR,FDX (BDR: FDXB34),16.62,S,2.0,C,4.0,Forte,331.0,307.54,271.2,250.07,577482129.0,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.81,341.14,False,False,False,False,False,True,False,15.869,17.672184,2.6543067,6
TECN3,TECHNOS S.A.,BR_STOCK,TECN3,16.62,S,2.0,C,4.0,Forte,8.89,8.62,7.78,7.41,680974.03,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,2.01,8.99,False,False,False,False,False,True,False,17.363999999999997,8.155963,1.2364396,7
SIMN34,SIMN34,BDR,SPG (BDR: SIMN34),16.45,S,2.0,C,4.0,Forte,210.31,200.27,190.24,186.49,295757477.4,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,0.81,208.79,False,False,False,False,False,True,False,113.58999999999999,14.635351,14.154664,8
AIEC11,AIEC11,ETF,AIEC11,16.21,S,0.5,C,1.0,Fraco,60.66,60.59,55.54,53.41,191200.32,True,0.59,False,0.0,True,0.7,False,0.0,False,0.0,True,False,0.88,61.9,False,False,False,False,False,False,False,0.0,10.42268,999.0,9
PFIN11,PFIN11,ETF,PFIN11,16.07,S,0.5,C,0.0,Fraco,64.44,60.74,56.26,54.95,2041588.16,False,0.0,False,0.0,True,0.7,False,0.0,True,0.65,True,False,0.75,66.48,False,False,False,False,False,False,False,0.0,999.0,999.0,10
M1NS34,M1NS34,BDR,MNST (BDR: M1NS34),15.9,S,2.0,C,4.0,Forte,89.55,80.13,77.81,74.85,500110528.89,False,0.0,False,0.0,True,0.65,False,0.0,True,0.65,True,False,1.01,90.44,False,False,False,False,False,True,False,26.654,43.26087,10.034739,11
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,15.62,S,2.0,C,2.0,Fraco,20.0,19.01,17.74,16.97,586000.0,False,0.0,False,0.0,True,0.75,False,0.0,True,1.0,True,False,0.65,20.95,False,False,False,False,False,True,False,3.066,24.096386,0.74565655,12
T1EV34,T1EV34,BDR,TEVA (BDR: T1EV34),15.45,S,0.5,C,3.0,OK,34.19,32.94,31.03,28.07,143232947.62,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,False,False,0.65,36.99,False,False,False,False,False,False,False,21.599,25.514923,4.838664,13
I1EX34,I1EX34,BDR,IEX (BDR: I1EX34),15.45,S,2.0,C,3.0,OK,215.35,205.5,192.76,185.2,86930983.01,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.55,218.99,False,False,False,False,False,True,False,12.748000000000001,31.809454,3.9509413,14
FNAM11,FNAM11,ETF,FNAM11,15.3,S,0.5,C,0.0,Fraco,0.37,0.01,0.0,0.0,728900.01,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.19,0.0,False,False,False,False,False,False,False,0.0,999.0,999.0,15
BIIB34,BIIB34,BDR,BIIB (BDR: BIIB34),15.1,S,0.5,C,3.0,OK,195.34,187.66,181.36,171.98,166842234.95,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,False,False,0.84,205.97,False,False,False,False,False,False,False,7.7010006,21.02691,1.545815,16
PNCS34,PNCS34,BDR,PNC (BDR: PNCS34),15.1,S,0.5,C,3.0,OK,228.37,217.82,210.26,205.68,225962290.26,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.58,227.27,False,False,False,False,False,False,False,12.104,13.269611,1.4430234,17
J1CI34,J1CI34,BDR,JCI (BDR: J1CI34),14.95,S,2.0,C,3.0,OK,143.65,139.46,128.96,123.71,612142757.84,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,1.15,148.38,False,False,False,False,False,True,False,13.449,43.92966,6.4835706,18
CPRL34,CPRL34,BDR,CP (BDR: CPRL34),14.95,S,3.62,C,1.0,Fraco,89.93,84.44,78.87,77.97,332807819.12,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,1.15,91.5,True,False,False,False,False,True,False,8.428001,27.756172,2.4010053,19
I1VZ34,I1VZ34,BDR,IVZ (BDR: I1VZ34),14.9,S,0.5,C,3.0,OK,27.35,25.8,25.5,24.65,150839846.9,False,0.0,False,0.0,True,0.65,False,0.0,True,0.85,True,False,1.14,28.71,False,False,False,False,False,False,False,-1.5350000000000001,999.0,1.2441998,20
R1OK34,R1OK34,BDR,ROK (BDR: R1OK34),14.9,S,2.0,C,3.0,OK,446.71,417.62,399.96,385.86,375584379.91,False,0.0,False,0.0,True,0.65,False,0.0,True,0.85,True,False,1.25,468.11,False,False,False,False,False,True,False,27.183,46.48387,14.113168,21
N1TR34,N1TR34,BDR,NTRS (BDR: N1TR34),14.8,S,2.0,C,3.0,OK,170.47,159.84,145.6,141.15,154513668.17,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.78,173.66,False,False,False,False,False,True,False,14.462,17.850262,2.6064951,22
NSAT34,NSAT34,BDR,NSA (BDR: NSAT34),14.8,S,2.0,C,2.0,Fraco,43.43,41.78,34.56,33.39,23929452.44,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.75,43.9,False,False,False,False,False,True,False,7.858,57.906666,5.8840265,23
J2AZ34,J2AZ34,BDR,JAZZ (BDR: J2AZ34),14.8,S,2.0,C,1.0,Fraco,238.57,212.78,183.28,170.31,157041331.59,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,0.7,243.32,False,False,False,False,False,True,False,0.676,1988.0835,3.3004081,24
CVSH34,CVSH34,BDR,CVS (BDR: CVSH34),14.8,S,2.0,C,2.0,Fraco,95.93,83.82,79.15,77.96,920539006.78,False,0.0,False,0.0,True,0.8,False,0.0,False,0.0,True,False,1.38,98.43,False,False,False,False,False,True,False,3.7520003,42.074562,1.5766292,25
USBC34,USBC34,BDR,USB (BDR: USBC34),14.75,S,0.5,C,3.0,OK,55.69,54.75,53.13,51.56,343839908.65,False,0.0,False,0.0,True,0.5,False,0.0,True,1.0,True,False,0.8,56.48,False,False,False,False,False,False,False,12.350000399999999,11.675053,1.4836029,26
UPSS34,UPSS34,BDR,UPS (BDR: UPSS34),14.72,S,0.5,C,2.0,Fraco,108.54,101.07,100.53,95.88,335842842.73,False,0.0,False,0.0,True,0.6,False,0.0,True,0.85,True,False,0.51,111.22,False,False,False,False,False,False,False,33.353,17.563107,5.6788573,27
BRZP11,BRZP11,ETF,BRZP11,14.62,S,0.5,C,0.0,Fraco,186.19,184.72,169.18,160.93,159751.02,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,True,False,0.11,195.0,False,False,False,False,False,False,False,0.0,999.0,999.0,28
NGRD3,NEOGRID PARTICIPACOES S.A.,BR_STOCK,NGRD3,14.62,S,2.0,C,1.0,Fraco,33.93,32.35,28.58,27.96,1248624.01,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,True,False,0.47,34.0,False,False,False,False,False,True,True,-2.2270000000000003,999.0,0.6992272,29
S1MF34,S1MF34,BDR,SMFG (BDR: S1MF34),14.62,S,2.0,C,1.0,Fraco,23.16,21.42,20.32,19.34,36867083.64,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,True,False,0.93,23.65,False,False,False,False,False,True,False,9.776,15.038961,1.5057137,30
M1UF34,M1UF34,BDR,MUFG (BDR: M1UF34),14.62,S,2.0,C,1.0,Fraco,19.91,18.23,17.35,16.86,79629267.9,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,True,False,1.29,20.18,False,False,False,False,False,True,False,11.911,14.969924,1.6079053,31
CBAV3,COMPANHIA BRASILEIRA DE ALUMÍNIO,BR_STOCK,CBAV3,14.62,S,2.0,C,0.0,Fraco,10.72,10.57,8.78,7.55,25122320.63,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,True,False,0.76,10.78,False,False,False,False,False,True,False,0.0,0.0,0.0,32
LOGG3,LOG COMMERCIAL PROPERTIES,BR_STOCK,LOGG3,14.62,S,2.0,C,4.0,Forte,30.8,26.94,25.29,23.66,32765039.19,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,True,False,1.54,30.91,False,False,False,False,False,True,True,11.023,6.695652,0.71967655,33
I1HG34,I1HG34,BDR,IHG (BDR: I1HG34),14.62,S,2.0,C,2.0,Fraco,162.15,145.73,138.52,134.05,30135900.67,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,True,False,0.75,162.68,False,False,False,False,False,True,False,0.0,33.364197,-53.41391,34
VLOE34,VLOE34,BDR,VLO (BDR: VLOE34),14.62,S,2.0,C,4.0,Forte,255.82,243.95,206.67,194.51,525663555.81,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,True,False,0.75,265.61,False,False,False,False,False,True,False,15.85,18.686634,3.223376,35
